bin_start,bin_end,count
0.0,1.492537313432836,268
1.492537313432836,2.985074626865672,415
2.985074626865672,4.477611940298508,417
4.477611940298508,5.970149253731344,420
5.970149253731344,7.462686567164179,340
7.462686567164179,8.955223880597016,255
8.955223880597016,10.447761194029852,235
10.447761194029852,11.940298507462687,184
11.940298507462687,13.432835820895523,159
13.432835820895523,14.925373134328359,133
14.925373134328359,16.417910447761194,110
16.417910447761194,17.910447761194032,111
17.910447761194032,19.402985074626866,94
19.402985074626866,20.895522388059703,80
20.895522388059703,22.388059701492537,58
22.388059701492537,23.880597014925375,51
23.880597014925375,25.373134328358212,52
25.373134328358212,26.865671641791046,60
26.865671641791046,28.358208955223883,28
28.358208955223883,29.850746268656717,26
29.850746268656717,31.343283582089555,35
31.343283582089555,32.83582089552239,37
32.83582089552239,34.32835820895522,21
34.32835820895522,35.820895522388064,19
35.820895522388064,37.3134328358209,15
37.3134328358209,38.80597014925373,12
38.80597014925373,40.29850746268657,16
40.29850746268657,41.791044776119406,11
41.791044776119406,43.28358208955224,13
43.28358208955224,44.776119402985074,16
44.776119402985074,46.268656716417915,13
46.268656716417915,47.76119402985075,8
47.76119402985075,49.25373134328358,4
49.25373134328358,50.746268656716424,6
50.746268656716424,52.23880597014926,8
52.23880597014926,53.73134328358209,7
53.73134328358209,55.223880597014926,7
55.223880597014926,56.71641791044777,7
56.71641791044777,58.2089552238806,6
58.2089552238806,59.701492537313435,3
59.701492537313435,61.194029850746276,3
61.194029850746276,62.68656716417911,4
62.68656716417911,64.17910447761194,3
64.17910447761194,65.67164179104478,0
65.67164179104478,67.16417910447761,6
67.16417910447761,68.65671641791045,8
68.65671641791045,70.1492537313433,4
70.1492537313433,71.64179104477613,5
71.64179104477613,73.13432835820896,0
73.13432835820896,74.6268656716418,3
74.6268656716418,76.11940298507463,2
76.11940298507463,77.61194029850746,1
77.61194029850746,79.1044776119403,0
79.1044776119403,80.59701492537314,3
80.59701492537314,82.08955223880598,0
82.08955223880598,83.58208955223881,1
83.58208955223881,85.07462686567165,1
85.07462686567165,86.56716417910448,1
86.56716417910448,88.05970149253731,1
88.05970149253731,89.55223880597015,0
89.55223880597015,91.044776119403,1
91.044776119403,92.53731343283583,1
92.53731343283583,94.02985074626866,0
94.02985074626866,95.5223880597015,5
95.5223880597015,97.01492537313433,1
97.01492537313433,98.50746268656717,0
98.50746268656717,100.0,33
